C,Al,V,Cr,Mn,Fe,Co,Ni,Cu,Mo,Ti,YS,UTS,Elongation
4.600421119,42.85575693,15.67470797,1.788226311,2.762220757,1.246061296,11.20872724,11.34310666,0.474358799,0.002339998,5.288477938,939.6530866,1147.613048,401.4943743
4.606466228,42.93911116,15.74008229,2.806055657,3.608340904,1.243260746,11.22139283,11.34325386,0.676083933,7.96E-05,5.300242584,1208.496611,1416.456572,132.6508501
4.608166785,42.85619402,14.45934122,1.788133479,3.604272696,3.050025431,11.15083164,11.34311637,0.415043511,1.230937366,5.491892152,1337.119212,1545.079173,4.028248981
4.608166785,42.85619402,14.45934122,1.788133479,3.604272696,3.050025431,11.15083164,11.34311637,0.415043511,1.230937366,5.491892152,1337.119031,1545.078992,4.02843005
4.608166785,42.85619443,14.45934122,1.788133479,3.604272696,3.050025431,11.15083164,11.34311637,0.415043511,1.230937366,5.491892152,1337.119031,1545.078992,4.028429636
4.608273662,42.8561971,15.83286412,1.788177111,3.585200636,3.050064501,11.21740161,11.34295523,0.415043741,0.020253291,5.288534011,1337.117205,1545.077166,4.030255624
4.884843292,42.76528384,15.8051468,1.788177111,3.627358806,3.050064501,11.21740161,11.31912306,0.419700391,0.019408031,5.288534011,962.1783338,1170.138295,378.9691271
4.892619947,42.84510891,15.88693826,1.827875651,2.953347513,3.050220911,11.21951445,11.34431905,0.415170078,0.033940996,5.485784084,1337.075923,1545.035884,4.071537526
4.893799275,42.88511523,15.73604467,2.91540171,3.358565979,3.050052939,11.18094433,11.34308644,0.414304172,0.012846396,5.29928504,1001.80676,1209.766721,339.3407009
4.897667289,42.85567442,14.45759806,1.8232953,3.394132834,3.049988833,11.14070859,11.34320792,0.420041071,0.858219401,5.495383431,1000.593592,1208.553553,340.5538685
4.89833719,40.53504261,15.67970266,2.806055657,3.596521367,3.064084296,11.22139283,11.34325386,0.669689363,0.627310813,5.300154972,912.7556291,1120.71559,428.3918319
4.899734911,42.85603628,13.91591857,2.014550855,3.619971849,3.127316456,11.22084828,11.34309992,0.471973468,0,5.760403232,1217.775254,1425.735215,123.372207
5.094356588,42.84629324,15.67993923,1.786299398,2.778192483,1.714929077,11.1502025,11.84981529,0.474358799,1.14684546,5.298785168,915.0285591,1122.98852,426.1189019
5.102103972,42.85567234,13.92792693,1.8232953,3.394132834,3.050096401,11.14080392,11.34320792,0.420041071,0.858083489,5.484951512,1040.110112,1248.070073,301.0373488
5.105516525,40.36951896,13.83779183,2.755423941,3.629839344,3.047380683,12.8151238,11.29865107,0.414263626,1.205016645,5.485585144,1002.054122,1210.014083,339.0933385
5.189280295,22.91640192,7.64027582,15.70148764,13.18423374,4.040791215,4.080291953,16.5891718,3.073594061,0.680230181,4.078366782,1764.673828,1892.876953,3.731933594
5.195177972,22.91751638,7.639386438,15.70063734,13.11729914,4.035835544,4.081330131,16.61401117,11.60609007,0.680230181,4.522089299,1783.320313,1894.449219,4.108886719
5.196541959,23.02180799,7.640536375,17.9726479,14.87785783,7.736855838,4.081365884,15.5351095,6.851601926,0.812087024,3.2911506,1768.796875,1898.798828,2.9765625
5.196633836,22.91751703,7.639386438,15.68443896,13.09752184,4.036214227,4.082140712,16.61885421,6.794590338,0.687972078,4.524581118,1755.59375,1857.177734,1.701660156
