Al,Co,Cr,Cu,Fe,Mg,Mn,Ni,Si,Ti,V,Zn,YS,UTS,Elongation
91.83974446,0,0,0.923669186,0.007048574,3.436854323,0,1.91E-05,8.09E-06,0.004566496,0.002464165,3.662560541,117.9945705,209.2312578,376.5501729
91.84143044,0,0,0.940386888,0.002106026,3.405859656,0.000133189,0.004337908,1.94E-05,0.005350432,0.002790222,3.829718621,112.4851426,206.8958757,372.8306135
91.84490321,0,0,0.960601585,0.002122546,3.40582113,0,0,2.80E-05,5.45E-05,0.003081146,3.829714209,110.7361146,205.1468476,374.5796415
91.84712552,0,0,0.923649075,0.006892865,3.366731485,0,0.005558062,7.87E-06,0.005324987,0.002431006,3.829729201,121.7140374,212.9507246,372.8307061
91.84712552,0,0,1.114603289,0.007224386,3.071969999,0,0.005545699,8.06E-06,0.00562628,0.002426165,3.828964288,111.8497671,203.0864544,382.6949763
91.84927738,0,0,0.923652324,0.006892865,3.363744186,0,4.94E-05,8.34E-06,0.005324987,0.002426069,3.82972924,121.2754038,212.5120911,373.2693396
91.87139577,0,0,0.932254755,0.001330729,3.186695952,0.022002491,0,1.10E-05,0.000534613,0.003134969,3.82972924,108.28899,202.699723,377.0267661
91.87280498,0,0,0.932479818,0.002080015,3.186695952,0.022121551,0,0.00032482,0.00388895,0.003134969,3.799898611,109.2404277,203.6511607,376.0753284
91.88607639,0,0,1.077988355,0.001606474,3.424273016,3.63E-07,0,5.79E-05,0.001584396,0.002453558,3.82972924,518.7428791,609.4127459,-17.17111179
91.89473134,0,0,0.932072444,0.002135987,3.318772963,0.011226694,1.49E-06,4.88E-05,0.005199263,0.003262854,3.829717748,111.7527245,206.1634575,373.5630316
91.8976163,0,2.29E-08,0.992641443,2.01E-05,3.325896503,7.09E-07,2.42E-05,0.000134813,8.87E-05,0.002804038,3.82972921,97.28154103,173.2726557,376.5442928
91.91172393,0,0,0.926347797,0.006890994,3.305127418,5.52E-07,0.009071624,0.000348104,0.004325371,0.002379845,3.82972924,516.7172957,611.3594023,-17.13772075
91.91172393,0,0,0.926347797,0.006890994,3.425025002,3.78E-06,0.004105498,0.000348104,0.004325371,0.002379845,3.82972924,518.3296216,611.5444543,-16.90983267
