Al,C,Co,Cr,Cu,Fe,Mg,Mn,Mo,Ni,Si,Ti,V,Zn
40.22,1.66,15.56,5.36,2.08,3.22,0.34,16.3,1.96,3.82,0,5.86,2,1.62
40.18,1.66,15.56,5.36,2.12,3.22,0.34,16.3,1.96,3.82,0,5.86,2,1.62
40.14,1.66,15.56,8.34,2.18,0.24,0.36,16.3,1.96,3.82,0,5.86,2,1.58
40.14,1.66,15.56,8.34,2.18,0.24,0.36,16.3,1.96,3.82,0,5.86,2,1.58
41.14,1.68,15.56,5.24,2.18,3.24,0.28,16.26,1.96,3.82,0,5.9,1.1,1.64
44.06,1.7,15.56,5.34,2.18,0.26,0.4,16.02,1.96,3.82,0,5.82,1.14,1.74
40.16,1.68,15.56,8.34,2.16,0.24,0.34,16.3,1.96,3.82,0,5.86,2,1.58
40.18,1.68,15.56,8.5,2.16,0.1,0.36,16.28,1.96,3.82,0,5.82,2,1.58
41.04,1.9,15.56,5.34,2.16,3.22,0.38,16.02,1.96,3.82,0,5.9,1.08,1.62
41.06,1.92,15.56,5.34,2.06,3.22,0.42,16.02,1.96,3.82,0,5.9,1.1,1.62
41.06,1.92,15.56,5.34,2.06,3.22,0.42,16.02,1.96,3.82,0,5.9,1.1,1.62
41.06,1.9,15.56,5.34,2.12,3.22,0.34,16.02,1.96,3.82,0,5.92,1.1,1.64
40.22,1.92,15.56,8.54,2.16,0,0.34,16.04,1.96,3.76,0,5.9,2,1.6
41.04,1.92,15.56,5.34,2.16,3.22,0.38,16.04,1.96,3.82,0,5.82,1.14,1.6
41.02,1.92,15.56,5.34,2.16,3.22,0.38,16.04,1.96,3.76,0,5.9,1.14,1.6
41,1.94,15.56,5.34,2.2,3.22,0.36,16.02,1.96,3.82,0,5.82,1.14,1.62
34.96,3.04,8.34,9.6,5.56,2.42,0.32,1.04,2.66,0.88,0,5.28,24.5,1.4
34.96,3.04,8.34,9.6,5.6,2.42,0.3,1.04,2.66,0.88,0,5.28,24.5,1.38
34.96,3.04,8.34,9.6,5.6,2.42,0.3,1.04,2.66,0.88,0,5.28,24.5,1.38
34.96,3.04,8.34,9.6,5.6,2.42,0.3,1.04,2.66,0.88,0,5.28,24.5,1.38
34.96,3.02,8.34,9.58,5.66,2.42,0.3,1.04,2.66,0.88,0,5.28,24.5,1.36
34.96,3.02,8.34,9.58,5.62,2.42,0.34,1.04,2.66,0.88,0,5.28,24.5,1.36
34.96,3.04,8.34,9.6,5.58,2.42,0.3,1.04,2.66,0.88,0,5.28,24.5,1.4
34.96,3.04,8.34,9.6,5.58,2.42,0.3,1.04,2.66,0.88,0,5.28,24.5,1.4
34.96,3.02,8.34,9.6,5.64,2.42,0.3,1.04,2.66,0.88,0,5.28,24.5,1.36
34.96,3.06,8.34,9.6,5.62,2.42,0.32,1.04,2.66,0.88,0,5.28,24.5,1.32
27.1,3.04,8.34,9.58,5.54,2.42,0.24,1.04,2.66,0.88,0,5.28,32.84,1.04
34.98,3.02,8.34,9.6,5.64,2.42,0.3,1.04,2.66,0.88,0,5.28,24.5,1.34
34.96,3.02,8.34,9.58,5.52,2.42,0.44,1.04,2.66,0.88,0,5.28,24.5,1.36
41.62,4.14,5.82,11.18,1.28,0.88,0.42,0.36,2.7,12.52,0,0.88,16.52,1.68
38.28,4.24,5.82,6.82,1.3,6.56,0.34,0.38,3.58,12.48,0,2.82,15.84,1.54
43.8,4.24,5.82,7.08,1.46,2.78,0.36,0.28,3.6,12.48,0,0.54,15.8,1.76
43.94,4.26,5.82,6.82,1.38,0.32,0.36,0.38,3.58,12.48,0,2.7,16.2,1.76
43.6,4.28,5.82,7.08,1.38,0.36,0.36,0.38,3.52,12.48,0,2.82,16.2,1.72
39.76,4.24,5.82,7.1,1.36,4.36,0.3,0.38,3.58,12.48,0,2.82,16.2,1.6
39.84,4.28,5.82,7.06,1.4,4.2,0.36,0.38,3.58,12.48,0,2.82,16.2,1.58
39.78,4.24,5.82,7.1,1.32,4.36,0.34,0.38,3.58,12.48,0,2.82,16.2,1.58
39.72,4.26,5.82,7.08,1.42,4.36,0.34,0.38,3.58,12.48,0,2.82,16.2,1.54
39.78,4.24,5.82,7.1,1.38,4.36,0.36,0.38,3.58,12.48,0,2.82,16.2,1.5
39.74,4.28,5.82,7.08,1.34,4.4,0.36,0.38,3.58,12.48,0,2.82,16.2,1.52
39.78,4.24,5.82,7.1,1.38,4.36,0.36,0.36,3.6,12.48,0,2.82,16.2,1.5
40.06,4.26,5.86,7.1,1.34,4.3,0.34,0.38,3.6,12.48,0,2.56,16.2,1.52
40.06,4.26,5.82,7.1,1.24,4.36,0.42,0.38,3.42,12.48,0,2.82,16.1,1.54
43.14,4.22,6.24,7.06,1.42,2.78,0.36,0.26,3.64,12.38,0,0.54,16.3,1.66
44.56,4.94,4.32,2.34,0.74,3.18,0.46,13.5,8.9,4.24,0,0.94,10.24,1.64
42.22,5.14,0.28,0.02,3.04,1.38,0.42,21.96,5.42,4.36,0,0.32,13.88,1.56
42.9,5.14,0.38,0.04,1.5,1.34,0.38,22.04,6.48,3.9,0,0.38,13.86,1.66
43.66,5.12,1.02,0.04,1.42,0.06,0.38,22.02,6.54,3.9,0,0.32,13.88,1.64
43.7,5.14,0.44,0.02,0.72,1.36,0.36,22.98,5.38,3.9,0,0.38,13.9,1.72
